Unnamed: 0,Collection,Title,MP3_URL
0,第 一 輯,萬法為心所現,/proxy/namo_mp3/yuan_series/vol01/vol01_talk01.mp3
1,第 一 輯,學習新事物並無分年齡限制,/proxy/namo_mp3/yuan_series/vol01/vol01_talk02.mp3
2,第 一 輯,接觸大自然,/proxy/namo_mp3/yuan_series/vol01/vol01_talk03.mp3
3,第 一 輯,色即是空，空即是色,/proxy/namo_mp3/yuan_series/vol01/vol01_talk04.mp3
4,第 一 輯,維摩一默，聲如淵雷,/proxy/namo_mp3/yuan_series/vol01/vol01_talk05.mp3
5,第 一 輯,學佛求智慧,/proxy/namo_mp3/yuan_series/vol01/vol01_talk06.mp3
6,第 一 輯,心是根，法是塵,/proxy/namo_mp3/yuan_series/vol01/vol01_talk07.mp3
7,第 一 輯,白雲與我最相知,/proxy/namo_mp3/yuan_series/vol01/vol01_talk08.mp3
8,第 一 輯,放下屠刀，立地成佛,/proxy/namo_mp3/yuan_series/vol01/vol01_talk09.mp3
9,第 一 輯,我是誰,/proxy/namo_mp3/yuan_series/vol01/vol01_talk10.mp3
10,第 一 輯,親身體驗禪,/proxy/namo_mp3/yuan_series/vol01/vol01_talk11.mp3
11,第 一 輯,唐三藏,/proxy/namo_mp3/yuan_series/vol01/vol01_talk12.mp3
12,第 一 輯,溪聲便是廣長舌,/proxy/namo_mp3/yuan_series/vol01/vol01_talk13.mp3
13,第 一 輯,照見五蘊皆空,/proxy/namo_mp3/yuan_series/vol01/vol01_talk14.mp3
14,第 一 輯,吾心似秋月,/proxy/namo_mp3/yuan_series/vol01/vol01_talk15.mp3
15,第 二 輯,蓮花色,/proxy/namo_mp3/yuan_series/vol02/vol02_talk01.mp3
16,第 二 輯,春有百花秋有月,/proxy/namo_mp3/yuan_series/vol02/vol02_talk02.mp3
17,第 二 輯,六波羅蜜,/proxy/namo_mp3/yuan_series/vol02/vol02_talk03.mp3
18,第 二 輯,安世高法師,/proxy/namo_mp3/yuan_series/vol02/vol02_talk04.mp3
19,第 二 輯,第一位比丘尼,/proxy/namo_mp3/yuan_series/vol02/vol02_talk05.mp3
20,第 二 輯,不必恕春風,/proxy/namo_mp3/yuan_series/vol02/vol02_talk06.mp3
21,第 二 輯,因果報應 (唐紹 李林甫),/proxy/namo_mp3/yuan_series/vol02/vol02_talk07.mp3
22,第 二 輯,伽藍菩薩 (關帝),/proxy/namo_mp3/yuan_series/vol02/vol02_talk08.mp3
23,第 二 輯,香積國,/proxy/namo_mp3/yuan_series/vol02/vol02_talk09.mp3
24,第 二 輯,佛的簡略解釋,/proxy/namo_mp3/yuan_series/vol02/vol02_talk10.mp3
25,第 二 輯,一路通時路路通,/proxy/namo_mp3/yuan_series/vol02/vol02_talk11.mp3
26,第 二 輯,黃鐵匠往生西方,/proxy/namo_mp3/yuan_series/vol02/vol02_talk12.mp3
27,第 二 輯,雲在青天水在瓶,/proxy/namo_mp3/yuan_series/vol02/vol02_talk13.mp3
28,第 二 輯,三千大千世界,/proxy/namo_mp3/yuan_series/vol02/vol02_talk14.mp3
29,第 二 輯,平常心是道,/proxy/namo_mp3/yuan_series/vol02/vol02_talk15.mp3
30,第 三 輯,瓊花一夜滿空山,/proxy/namo_mp3/yuan_series/vol03/vol03_talk01.mp3
31,第 三 輯,鳥窠禪師,/proxy/namo_mp3/yuan_series/vol03/vol03_talk02.mp3
32,第 三 輯,因果報應 -- 含輝和尚,/proxy/namo_mp3/yuan_series/vol03/vol03_talk03.mp3
33,第 三 輯,一宿覺,/proxy/namo_mp3/yuan_series/vol03/vol03_talk04.mp3
34,第 三 輯,因果報應 -- 秦朝白起將軍,/proxy/namo_mp3/yuan_series/vol03/vol03_talk05.mp3
35,第 三 輯,佛法即非佛法，是名佛法,/proxy/namo_mp3/yuan_series/vol03/vol03_talk06.mp3
36,第 三 輯,因果報應 -- 王麻子二十六刀,/proxy/namo_mp3/yuan_series/vol03/vol03_talk07.mp3
37,第 三 輯,春深雨過落花飛,/proxy/namo_mp3/yuan_series/vol03/vol03_talk08.mp3
38,第 三 輯,何為菩薩,/proxy/namo_mp3/yuan_series/vol03/vol03_talk09.mp3
39,第 三 輯,因果報應 -- 竇燕山,/proxy/namo_mp3/yuan_series/vol03/vol03_talk10.mp3
40,第 三 輯,怎得梅花撲鼻香,/proxy/namo_mp3/yuan_series/vol03/vol03_talk11.mp3
41,第 三 輯,為何人有不如意事,/proxy/namo_mp3/yuan_series/vol03/vol03_talk12.mp3
42,第 三 輯,因果報應 -- 大悲咒功德,/proxy/namo_mp3/yuan_series/vol03/vol03_talk13.mp3
43,第 三 輯,布袋和尚契此,/proxy/namo_mp3/yuan_series/vol03/vol03_talk14.mp3
44,第 三 輯,四聖諦,/proxy/namo_mp3/yuan_series/vol03/vol03_talk15.mp3
45,第 四 輯,本來無一物，何處惹塵埃,/proxy/namo_mp3/yuan_series/vol04/vol04_talk01.mp3
46,第 四 輯,莫存順逆,/proxy/namo_mp3/yuan_series/vol04/vol04_talk02.mp3
47,第 四 輯,律宗,/proxy/namo_mp3/yuan_series/vol04/vol04_talk03.mp3
48,第 四 輯,水流原入海，月落不離天,/proxy/namo_mp3/yuan_series/vol04/vol04_talk04.mp3
49,第 四 輯,華嚴宗,/proxy/namo_mp3/yuan_series/vol04/vol04_talk05.mp3
50,第 四 輯,宋˙張方平前生,/proxy/namo_mp3/yuan_series/vol04/vol04_talk06.mp3
51,第 四 輯,唐˙王維詩：《終南別業》,/proxy/namo_mp3/yuan_series/vol04/vol04_talk07.mp3
52,第 四 輯,宋˙王陽明前生,/proxy/namo_mp3/yuan_series/vol04/vol04_talk08.mp3
53,第 四 輯,中陰身(一),/proxy/namo_mp3/yuan_series/vol04/vol04_talk09.mp3
54,第 四 輯,中陰身(二),/proxy/namo_mp3/yuan_series/vol04/vol04_talk10.mp3
55,第 四 輯,一任清風送白雲,/proxy/namo_mp3/yuan_series/vol04/vol04_talk11.mp3
56,第 四 輯,禪的意義,/proxy/namo_mp3/yuan_series/vol04/vol04_talk12.mp3
57,第 四 輯,靜坐觀心,/proxy/namo_mp3/yuan_series/vol04/vol04_talk13.mp3
58,第 四 輯,文天祥浩然正氣,/proxy/namo_mp3/yuan_series/vol04/vol04_talk14.mp3
59,第 四 輯,一片冰心在玉壺,/proxy/namo_mp3/yuan_series/vol04/vol04_talk15.mp3
60,第 五 輯,蘇軾題「西林壁」,/proxy/namo_mp3/yuan_series/vol05/vol05_talk01.mp3
61,第 五 輯,張繼「橋風夜泊」,/proxy/namo_mp3/yuan_series/vol05/vol05_talk02.mp3
62,第 五 輯,因果律,/proxy/namo_mp3/yuan_series/vol05/vol05_talk03.mp3
63,第 五 輯,昨夜雲從風雨去,/proxy/namo_mp3/yuan_series/vol05/vol05_talk04.mp3
64,第 五 輯,五戒,/proxy/namo_mp3/yuan_series/vol05/vol05_talk05.mp3
65,第 五 輯,何先生捨己為人,/proxy/namo_mp3/yuan_series/vol05/vol05_talk06.mp3
66,第 五 輯,唐寒山子詩《共坐白雲中》,/proxy/namo_mp3/yuan_series/vol05/vol05_talk07.mp3
67,第 五 輯,般若波羅蜜多,/proxy/namo_mp3/yuan_series/vol05/vol05_talk08.mp3
68,第 五 輯,淺談經律論三藏,/proxy/namo_mp3/yuan_series/vol05/vol05_talk09.mp3
69,第 五 輯,范仲淹先天下之憂而憂,/proxy/namo_mp3/yuan_series/vol05/vol05_talk10.mp3
70,第 五 輯,萬事無如退步人,/proxy/namo_mp3/yuan_series/vol05/vol05_talk11.mp3
71,第 五 輯,賈島《尋忍者不遇》,/proxy/namo_mp3/yuan_series/vol05/vol05_talk12.mp3
72,第 五 輯,斐度積福變相,/proxy/namo_mp3/yuan_series/vol05/vol05_talk13.mp3
73,第 五 輯,三頭未了便來勾,/proxy/namo_mp3/yuan_series/vol05/vol05_talk14.mp3
74,第 五 輯,雪泥鴻爪,/proxy/namo_mp3/yuan_series/vol05/vol05_talk15.mp3
75,第 六 輯,三界六道(一),/proxy/namo_mp3/yuan_series/vol06/vol06_talk01.mp3
76,第 六 輯,三界六道(二),/proxy/namo_mp3/yuan_series/vol06/vol06_talk02.mp3
77,第 六 輯,三界六道(三),/proxy/namo_mp3/yuan_series/vol06/vol06_talk03.mp3
78,第 六 輯,三界六道(四),/proxy/namo_mp3/yuan_series/vol06/vol06_talk04.mp3
79,第 六 輯,三界六道(五),/proxy/namo_mp3/yuan_series/vol06/vol06_talk05.mp3
80,第 六 輯,三界六道(六),/proxy/namo_mp3/yuan_series/vol06/vol06_talk06.mp3
81,第 六 輯,三界六道(七),/proxy/namo_mp3/yuan_series/vol06/vol06_talk07.mp3
82,第 六 輯,三界六道(八),/proxy/namo_mp3/yuan_series/vol06/vol06_talk08.mp3
83,第 六 輯,三界六道(九),/proxy/namo_mp3/yuan_series/vol06/vol06_talk09.mp3
84,第 六 輯,三界六道(十),/proxy/namo_mp3/yuan_series/vol06/vol06_talk10.mp3
85,第 六 輯,幾樹寒梅帶雪紅,/proxy/namo_mp3/yuan_series/vol06/vol06_talk11.mp3
86,第 六 輯,心經最後咒語釋義,/proxy/namo_mp3/yuan_series/vol06/vol06_talk12.mp3
87,第 六 輯,吹面不寒楊柳風,/proxy/namo_mp3/yuan_series/vol06/vol06_talk13.mp3
88,第 六 輯,百年鑽窗紙，何日出頭時,/proxy/namo_mp3/yuan_series/vol06/vol06_talk14.mp3
89,第 六 輯,王安石禪詩,/proxy/namo_mp3/yuan_series/vol06/vol06_talk15.mp3
90,第 七 輯,三字大明咒,/proxy/namo_mp3/yuan_series/vol07/vol07_talk01.mp3
91,第 七 輯,呂洞賓皈依黃龍禪師,/proxy/namo_mp3/yuan_series/vol07/vol07_talk02.mp3
92,第 七 輯,慈悲梁皇寶懺,/proxy/namo_mp3/yuan_series/vol07/vol07_talk03.mp3
93,第 七 輯,唐․白居易,/proxy/namo_mp3/yuan_series/vol07/vol07_talk04.mp3
94,第 七 輯,佛法文獻是人類文明寶藏,/proxy/namo_mp3/yuan_series/vol07/vol07_talk05.mp3
95,第 七 輯,舍利子,/proxy/namo_mp3/yuan_series/vol07/vol07_talk06.mp3
96,第 七 輯,大乘佛法八宗,/proxy/namo_mp3/yuan_series/vol07/vol07_talk07.mp3
97,第 七 輯,三論宗,/proxy/namo_mp3/yuan_series/vol07/vol07_talk08.mp3
98,第 七 輯,法相宗,/proxy/namo_mp3/yuan_series/vol07/vol07_talk09.mp3
99,第 七 輯,天台宗,/proxy/namo_mp3/yuan_series/vol07/vol07_talk10.mp3
100,第 七 輯,華嚴宗,/proxy/namo_mp3/yuan_series/vol07/vol07_talk11.mp3
101,第 七 輯,密宗,/proxy/namo_mp3/yuan_series/vol07/vol07_talk12.mp3
102,第 七 輯,律宗,/proxy/namo_mp3/yuan_series/vol07/vol07_talk13.mp3
103,第 七 輯,禪宗,/proxy/namo_mp3/yuan_series/vol07/vol07_talk14.mp3
104,第 七 輯,淨宗,/proxy/namo_mp3/yuan_series/vol07/vol07_talk15.mp3
105,第 八 輯,寡婦開悟,/proxy/namo_mp3/yuan_series/vol08/vol08_talk01.mp3
106,第 八 輯,桃花依舊笑春風,/proxy/namo_mp3/yuan_series/vol08/vol08_talk02.mp3
107,第 八 輯,唐․《常建題破山寺後禪院》,/proxy/namo_mp3/yuan_series/vol08/vol08_talk03.mp3
108,第 八 輯,宋․黃庭堅詩《清平樂》,/proxy/namo_mp3/yuan_series/vol08/vol08_talk04.mp3
109,第 八 輯,寒山子,/proxy/namo_mp3/yuan_series/vol08/vol08_talk05.mp3
110,第 八 輯,禪門公案,/proxy/namo_mp3/yuan_series/vol08/vol08_talk06.mp3
111,第 八 輯,參話頭,/proxy/namo_mp3/yuan_series/vol08/vol08_talk07.mp3
112,第 八 輯,野狐禪,/proxy/namo_mp3/yuan_series/vol08/vol08_talk08.mp3
113,第 八 輯,當頭棒喝,/proxy/namo_mp3/yuan_series/vol08/vol08_talk09.mp3
114,第 八 輯,中國第一位僧人：朱士行,/proxy/namo_mp3/yuan_series/vol08/vol08_talk10.mp3
115,第 八 輯,佛的三身,/proxy/namo_mp3/yuan_series/vol08/vol08_talk11.mp3
116,第 八 輯,人面瘡,/proxy/namo_mp3/yuan_series/vol08/vol08_talk12.mp3
117,第 八 輯,六妙門,/proxy/namo_mp3/yuan_series/vol08/vol08_talk13.mp3
118,第 八 輯,念佛生西實錄,/proxy/namo_mp3/yuan_series/vol08/vol08_talk14.mp3
119,第 八 輯,懺悔,/proxy/namo_mp3/yuan_series/vol08/vol08_talk15.mp3
120,第 九 輯,死後報信,/proxy/namo_mp3/yuan_series/vol09/vol09_talk01.mp3
121,第 九 輯,再談阿修羅,/proxy/namo_mp3/yuan_series/vol09/vol09_talk02.mp3
122,第 九 輯,唐․孟浩然《春曉》,/proxy/namo_mp3/yuan_series/vol09/vol09_talk03.mp3
123,第 九 輯,厲鬼報仇,/proxy/namo_mp3/yuan_series/vol09/vol09_talk04.mp3
124,第 九 輯,八不中道,/proxy/namo_mp3/yuan_series/vol09/vol09_talk05.mp3
125,第 九 輯,佛教是哲學(一),/proxy/namo_mp3/yuan_series/vol09/vol09_talk06.mp3
126,第 九 輯,佛教是哲學(二),/proxy/namo_mp3/yuan_series/vol09/vol09_talk07.mp3
127,第 九 輯,淺談人生目的(一),/proxy/namo_mp3/yuan_series/vol09/vol09_talk08.mp3
128,第 九 輯,淺談人生目的(二),/proxy/namo_mp3/yuan_series/vol09/vol09_talk09.mp3
129,第 九 輯,淺談人生目的(三),/proxy/namo_mp3/yuan_series/vol09/vol09_talk10.mp3
130,第 九 輯,觀音菩薩感應事蹟,/proxy/namo_mp3/yuan_series/vol09/vol09_talk11.mp3
131,第 九 輯,四緣,/proxy/namo_mp3/yuan_series/vol09/vol09_talk12.mp3
132,第 九 輯,唐․賈島《送僧》,/proxy/namo_mp3/yuan_series/vol09/vol09_talk13.mp3
133,第 九 輯,八關齋戒,/proxy/namo_mp3/yuan_series/vol09/vol09_talk14.mp3
134,第 九 輯,僧人每日修持生活大概,/proxy/namo_mp3/yuan_series/vol09/vol09_talk15.mp3
135,第 十 輯,談鬼(一),/proxy/namo_mp3/yuan_series/vol10/vol10_talk01.mp3
136,第 十 輯,談鬼(二),/proxy/namo_mp3/yuan_series/vol10/vol10_talk02.mp3
137,第 十 輯,談鬼(三),/proxy/namo_mp3/yuan_series/vol10/vol10_talk03.mp3
138,第 十 輯,孫中山先生《普陀志奇》,/proxy/namo_mp3/yuan_series/vol10/vol10_talk04.mp3
139,第 十 輯,禪定,/proxy/namo_mp3/yuan_series/vol10/vol10_talk05.mp3
140,第 十 輯,虛雲和尚的詩,/proxy/namo_mp3/yuan_series/vol10/vol10_talk06.mp3
141,第 十 輯,因果感應救養孤兒,/proxy/namo_mp3/yuan_series/vol10/vol10_talk07.mp3
142,第 十 輯,四禪八定 (一),/proxy/namo_mp3/yuan_series/vol10/vol10_talk08.mp3
143,第 十 輯,四禪八定 (二),/proxy/namo_mp3/yuan_series/vol10/vol10_talk09.mp3
144,第 十 輯,四禪八定 (三),/proxy/namo_mp3/yuan_series/vol10/vol10_talk10.mp3
145,第 十 輯,青原惟信禪師悟道詩,/proxy/namo_mp3/yuan_series/vol10/vol10_talk11.mp3
146,第 十 輯,唐․良義禪師詩,/proxy/namo_mp3/yuan_series/vol10/vol10_talk12.mp3
147,第 十 輯,三學,/proxy/namo_mp3/yuan_series/vol10/vol10_talk13.mp3
148,第 十 輯,秋的感受唯識無境,/proxy/namo_mp3/yuan_series/vol10/vol10_talk14.mp3
149,第 十 輯,唐․蔣捷詩《虞美人聽雨》,/proxy/namo_mp3/yuan_series/vol10/vol10_talk15.mp3
150,第 十 一 輯,林同學鬼上身念經脫難,/proxy/namo_mp3/yuan_series/vol11/vol11_talk01.mp3
151,第 十 一 輯,放焰口,/proxy/namo_mp3/yuan_series/vol11/vol11_talk02.mp3
152,第 十 一 輯,六度波羅蜜,/proxy/namo_mp3/yuan_series/vol11/vol11_talk03.mp3
153,第 十 一 輯,業力,/proxy/namo_mp3/yuan_series/vol11/vol11_talk04.mp3
154,第 十 一 輯,十二因緣流轉門,/proxy/namo_mp3/yuan_series/vol11/vol11_talk05.mp3
155,第 十 一 輯,念阿彌陀佛(一),/proxy/namo_mp3/yuan_series/vol11/vol11_talk06.mp3
156,第 十 一 輯,念阿彌陀佛(二),/proxy/namo_mp3/yuan_series/vol11/vol11_talk07.mp3
157,第 十 一 輯,不二法門,/proxy/namo_mp3/yuan_series/vol11/vol11_talk08.mp3
158,第 十 一 輯,佛門事理,/proxy/namo_mp3/yuan_series/vol11/vol11_talk09.mp3
159,第 十 一 輯,十八界,/proxy/namo_mp3/yuan_series/vol11/vol11_talk10.mp3
160,第 十 一 輯,放下屠刀,/proxy/namo_mp3/yuan_series/vol11/vol11_talk11.mp3
161,第 十 一 輯,王文簡祖先陰德,/proxy/namo_mp3/yuan_series/vol11/vol11_talk12.mp3
162,第 十 一 輯,禪師與白雲,/proxy/namo_mp3/yuan_series/vol11/vol11_talk13.mp3
163,第 十 一 輯,營長好色遭惡報,/proxy/namo_mp3/yuan_series/vol11/vol11_talk14.mp3
164,第 十 一 輯,禪淨相修,/proxy/namo_mp3/yuan_series/vol11/vol11_talk15.mp3
165,第 十 二 輯,靜坐 (一),/proxy/namo_mp3/yuan_series/vol12/vol12_talk01.mp3
